ID,Work Item Type,Title 1,Title 2,Title 3,Title 4,Description,State,Tags
,Epic,User Authentication,,,,,New,
,Feature,,Login,,,,New,
,Product Backlog Item,,,Login - Submit Login Details,,"<div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;"">What?</b></div><div style=""box-sizing:border-box;"">User will be logging in to the application with login credentials.&nbsp;</div><div style=""box-sizing:border-box;""><br></div><div style=""box-sizing:border-box;"">In case, the credentials are not valid, the user will be redirected to login page with valid message displayed for login attempt failure.</div><div style=""box-sizing:border-box;""><br></div><div style=""box-sizing:border-box;"">In case user is not having credentials, user will be able to register. Hence, a link will be given to re-direct the user to registration page.</div><div style=""box-sizing:border-box;""><br></div><div style=""box-sizing:border-box;"">In case of successful login attempt, user will be redirected to user specific home page.</div><div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;""><br></b></div><div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;"">Why?</b></div><div style=""box-sizing:border-box;"">In order to access the application and features, the user will be logged in first.</div><div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;""><br style=""box-sizing:border-box;""></b></div><div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;"">Where?</b></div><div style=""box-sizing:border-box;"">Login page.</div><div style=""box-sizing:border-box;""></div><div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;""><br style=""box-sizing:border-box;""></b></div><div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;"">When?</b></div><div style=""box-sizing:border-box;"">HeartiHealth\Sprint 1 - UAT</div><div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;""><br style=""box-sizing:border-box;""></b></div><div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;"">Who?</b></div><div style=""box-sizing:border-box;"">All application users.</div><div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;""><br style=""box-sizing:border-box;""></b></div><div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;"">How?</b></div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;""><div style=""font-weight:400;box-sizing:border-box;"">User will be able to fill credential details in following:</div><div style=""font-weight:400;box-sizing:border-box;""><ol style=""box-sizing:border-box;padding-left:40px;""><li style=""box-sizing:border-box;"">Email</li><li style=""box-sizing:border-box;"">Password</li></ol></div>User will be able to submit the details through</span><b style=""box-sizing:border-box;""> </b><span style=""box-sizing:border-box;"">&quot;Login&quot;</span><b style=""box-sizing:border-box;""> </b><span style=""box-sizing:border-box;"">button.</span></div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;""><br></span></div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;"">In case the user is not having the credentials, provide the following section with message &quot;Not Registered? Register Here&quot;. &quot;Register Here&quot; will work as link to redirect the user to registration page.</span></div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;""><br></span></div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;"">User will be given with a link named as &quot;Forgot Password&quot; to redirect the user to reset password page, in case user forgot the password.</span></div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;""><br></span></div><div style=""box-sizing:border-box;""><i><span style=""box-sizing:border-box;color:rgb(200, 38, 19);""><b>Rules:</b></span><span style=""box-sizing:border-box;color:rgb(200, 38, 19);""><b>​</b></span></i></div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;""><br></span></div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;""><b>UI Rules:</b></span></div><div style=""box-sizing:border-box;""><ol><li>Email field will be a text field with email only restriction.</li><li>Password field will be a text field with hide password with star(*) validation on typing.</li></ol><div>Login attempt failure message corresponding to related field: &quot;Incorrect Email/Password&quot;.</div><div><br></div><div><div style=""box-sizing:border-box;"">Format validation message corresponding to related field: &quot;Incorrect Email/Password Format&quot;.</div><div style=""box-sizing:border-box;""><br></div></div><span style=""box-sizing:border-box;""><b></b></span></div><div style=""box-sizing:border-box;""><b>PFA </b>wire frame for reference.</div><div style=""box-sizing:border-box;""><br></div><div style=""box-sizing:border-box;""><b>Data Rules:</b></div><div style=""box-sizing:border-box;""><ol><li>Email ID should be unique.</li><li>Password should contain special characters.</li></ol></div><div style=""box-sizing:border-box;""><b></b></div><br>",New,NR; STORY
,Task,,,,DEV - Analysis & Clarifications,,To Do,
,Task,,,,DEV - Design Login Form,<div><b>To Do:</b></div><div><ol><li>Design Login Form.</li><li>Design Sections and Areas.</li><li>Validate UI/UX rules.</li></ol></div>,To Do,
,Task,,,,DEV - Implementation,<div><b>To Do:</b></div><div><ol><li>Validating login fields w.r.t. format and data rules.</li><li>Implement submitting login details.</li><li>Implementing redirect to Registration Page.</li><li>Implementing redirect to Reset Password Screen.</li></ol></div>,To Do,
,Task,,,,DEV - Unit Testing,<div><b>To Do:</b></div><div><ol><li>Unit test login field validations.</li><li>Unit test submitting login details.</li><li>Unit test redirect to Registration Page.</li><li>Unit test redirect to Reset Password.</li></ol></div>,To Do,
,Task,,,,QA - Analysis & Clarifications,<div><b>To Do:</b></div><div><ol><li>Analyse requirements and impact.</li><li>Logging the clarifications/impediments.</li></ol></div>,To Do,
,Task,,,,QA - Write Test Cases,<div><b>To Do:</b></div><div><ol><li>Login form fields.</li><li>Login form validations.</li><li>Redirect to Registration page.</li><li>Redirect to Reset Password page.</li><li>UI/UX and Data rules.</li></ol></div>,To Do,
,Task,,,,QA - Execute Test Cases,"<div><div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;"">To Do:</b></div><div style=""box-sizing:border-box;""><ol style=""box-sizing:border-box;padding-left:40px;""><li style=""box-sizing:border-box;"">Execute for Login form fields.</li><li style=""box-sizing:border-box;""><span style=""display:inline !important;"">Execute for<span>&nbsp;</span></span>Login form validations.</li><li style=""box-sizing:border-box;""><span style=""display:inline !important;"">Execute for<span>&nbsp;</span></span>Redirect to Registration page.</li><li style=""box-sizing:border-box;""><span style=""display:inline !important;"">Execute for<span>&nbsp;</span></span>Redirect to Reset Password page.</li><li style=""box-sizing:border-box;""><span style=""display:inline !important;"">Execute for<span>&nbsp;</span></span>UI/UX and Data rules.</li></ol></div><br></div>",To Do,
